Tokens            Lexemes

Separator         %%
Keyword           integer
Identifier        numb3r
Separator         ;
Keyword           integer
Identifier        i
Operator          =
Integer           0
Separator         ;
Keyword           boolean
Identifier        isPrime
Separator         ;
Identifier        numb3r
Operator          =
Integer           13
Separator         ;
Identifier        isPrime
Operator          =
Keyword           true
Separator         ;
Keyword           if
Separator         (
Identifier        numb3r
Operator          ==
Integer           1
Separator         )
Identifier        isPrime
Operator          =
Keyword           false
Separator         ;
Keyword           else
Identifier        i
Operator          =
Integer           1
Separator         ;
Keyword           while
Separator         (
Identifier        i
Operator          <
Identifier        numb3r
Operator          /
Integer           2
Separator         )
Keyword           begin
Keyword           if
Separator         (
Identifier        numb3r
Operator          %
Identifier        i
Operator          ==
Integer           0
Separator         )
Identifier        isPrime
Operator          =
Keyword           false
Separator         ;
Keyword           endif
Identifier        i
Operator          =
Identifier        i
Operator          +
Integer           1
Separator         ;
Keyword           end
Keyword           endif
Separator         %%
